MSA name,Output
1.ID_445:binShort:2_left_left__REDUCED__3910-4011___3915-4019__DOTS_1,no significant pairs
10.ID_138:binShort:1_left_left__REDUCED__1097-1180___1098-1212__DOTS_1,no significant pairs
100.ID_67:binShort:1_left_left__REDUCED__1851-1966___1924-1987__DOTS_1,no significant pairs
1000.ID_405:binShort:1_left_left__REDUCED__16048-16097___16088-16128__DOTS_1,no significant pairs
1001.ID_408:binShort:3_left_left__REDUCED__19697-19755___19746-19805__DOTS_1,no significant pairs
1002.ID_184:binShort:2_left_left__REDUCED__4233-4282___4273-4325__DOTS_1,no significant pairs
1003.ID_196:binShort:2_left_left__REDUCED__8493-8544___8535-8576__DOTS_1,no significant pairs
1004.ID_569:binShort:2_left_left__REDUCED__12804-12842___12833-12896__DOTS_1,no significant pairs
1005.ID_560:binShort:2_left_left__REDUCED__13909-13951___13942-13986__DOTS_1,no significant pairs
1006.ID_201:binShort:4_left_left__REDUCED__13975-14035___14026-14112__DOTS_1,no significant pairs
1007.ID_75:binShort:1_left_left__REDUCED__16905-16946___16937-16989__DOTS_1,------------BASE-PAIRS IDENTIFIED - SEE TABLE OF SUGGESTED CO-VARYING POSITIONS------------
1008.ID_396:binShort:3_left_left__REDUCED__17094-17155___17146-17223__DOTS_1,no significant pairs
1009.ID_304:binShort:1_left_left__REDUCED__18448-18505___18496-18547__DOTS_1,no significant pairs
101.ID_18:binShort:4_left_left__REDUCED__28919-29015___28973-29087__DOTS_1,------------BASE-PAIRS IDENTIFIED - SEE TABLE OF SUGGESTED CO-VARYING POSITIONS------------
1010.ID_238:binShort:2_left_left__REDUCED__19784-19821___19812-19874__DOTS_1,------------BASE-PAIRS IDENTIFIED - SEE TABLE OF SUGGESTED CO-VARYING POSITIONS------------
1011.ID_562:binShort:3_left_left__REDUCED__23494-23546___23537-23592__DOTS_1,no significant pairs
1012.ID_302:binShort:2_left_left__REDUCED__26767-26836___26827-26858__DOTS_1,no significant pairs
1013.ID_363:binShort:2_left_left__REDUCED__2506-2568___2559-2622__DOTS_1,no significant pairs
1014.ID_645:binShort:2_left_left__REDUCED__13601-13673___13664-13741__DOTS_1,no significant pairs
1015.ID_392:binShort:4_left_left__REDUCED__13924-13973___13964-14027__DOTS_1,no significant pairs
1016.ID_229:binShort:4_left_left__REDUCED__15911-15966___15957-16061__DOTS_1,no significant pairs
1017.ID_478:binShort:1_left_left__REDUCED__16940-17007___16998-17037__DOTS_1,no significant pairs
1018.ID_468:binShort:2_left_left__REDUCED__18705-18757___18748-18799__DOTS_1,no significant pairs
1019.ID_511:binShort:4_left_left__REDUCED__775-826___817-856__DOTS_1,no significant pairs
102.ID_143:binShort:2_left_left__REDUCED__2571-2636___2594-2666__DOTS_1,no significant pairs
1020.ID_406:binShort:1_left_left__REDUCED__1510-1565___1556-1607__DOTS_1,no significant pairs
1021.ID_279:binShort:4_left_left__REDUCED__1848-1951___1942-1986__DOTS_1,no significant pairs
1022.ID_315:binShort:3_left_left__REDUCED__3053-3094___3085-3142__DOTS_1,no significant pairs
1023.ID_254:binShort:4_left_left__REDUCED__6023-6076___6067-6114__DOTS_1,no significant pairs
1024.ID_519:binShort:1_left_left__REDUCED__7855-7914___7905-7958__DOTS_1,no significant pairs
1025.ID_64:binShort:2_left_left__REDUCED__12643-12681___12672-12733__DOTS_1,no significant pairs
1026.ID_495:binShort:2_left_left__REDUCED__15675-15718___15709-15771__DOTS_1,no significant pairs
1027.ID_399:binShort:1_left_left__REDUCED__17051-17113___17104-17147__DOTS_1,no significant pairs
1028.ID_148:binShort:2_left_left__REDUCED__20254-20295___20286-20374__DOTS_1,no significant pairs
1029.ID_315:binShort:2_left_left__REDUCED__26058-26104___26095-26142__DOTS_1,no significant pairs
103.ID_220:binShort:2_left_left__REDUCED__5963-6033___5992-6070__DOTS_1,no significant pairs
1030.ID_524_left__REDUCED__3117-3183___3175-3252__DOTS_1,no significant pairs
1031.ID_841:binShort:2_left_left__REDUCED__835-893___885-970__DOTS_1,no significant pairs
1032.ID_812_left__REDUCED__14034-14124___14116-14177__DOTS_1,no significant pairs
1033.ID_974_left__REDUCED__16177-16231___16223-16289__DOTS_1,no significant pairs
1034.ID_971_left__REDUCED__9383-9435___9427-9482__DOTS_1,no significant pairs
1035.ID_483:binShort:4_left_left__REDUCED__20961-21041___21033-21128__DOTS_1,no significant pairs
1036.ID_427:binShort:4_left_left__REDUCED__4979-5029___5021-5069__DOTS_1,no significant pairs
1037.ID_439:binShort:3_left_left__REDUCED__15911-15969___15961-16026__DOTS_1,no significant pairs
1038.ID_570:binShort:4_left_left__REDUCED__14249-14305___14297-14341__DOTS_1,no significant pairs
1039.ID_415:binShort:1_left_left__REDUCED__19641-19687___19679-19737__DOTS_1,no significant pairs
104.ID_166:binShort:3_left_left__REDUCED__16261-16328___16287-16356__DOTS_1,no significant pairs
1040.ID_518:binShort:1_left_left__REDUCED__2815-2882___2874-2943__DOTS_1,no significant pairs
1041.ID_396:binShort:4_left_left__REDUCED__9900-9950___9942-10003__DOTS_1,------------BASE-PAIRS IDENTIFIED - SEE TABLE OF SUGGESTED CO-VARYING POSITIONS------------
1042.ID_823:binShort:2_left_left__REDUCED__18948-19006___18998-19028__DOTS_1,no significant pairs
1043.ID_440:binShort:2_left_left__REDUCED__17498-17557___17549-17595__DOTS_1,no significant pairs
1044.ID_705:binShort:4_left_left__REDUCED__18454-18516___18508-18562__DOTS_1,no significant pairs
1045.ID_274:binShort:3_left_left__REDUCED__20139-20183___20175-20224__DOTS_1,no significant pairs
1046.ID_617:binShort:1_left_left__REDUCED__17998-18052___18044-18098__DOTS_1,no significant pairs
1047.ID_248:binShort:2_left_left__REDUCED__12607-12663___12655-12717__DOTS_1,no significant pairs
1048.ID_592:binShort:3_left_left__REDUCED__13096-13137___13129-13214__DOTS_1,no significant pairs
1049.ID_441:binShort:4_left_left__REDUCED__16615-16673___16665-16712__DOTS_1,no significant pairs
105.ID_41:binShort:2_left_left__REDUCED__7046-7141___7100-7164__DOTS_1,no significant pairs
1050.ID_188:binShort:4_left_left__REDUCED__24006-24069___24061-24112__DOTS_1,no significant pairs
1051.ID_546:binShort:2_left_left__REDUCED__5887-5951___5943-5985__DOTS_1,no significant pairs
1052.ID_466:binShort:1_left_left__REDUCED__9979-10039___10031-10089__DOTS_1,no significant pairs
1053.ID_103:binShort:1_left_left__REDUCED__10098-10150___10142-10186__DOTS_1,no significant pairs
1054.ID_255:binShort:4_left_left__REDUCED__20285-20362___20354-20387__DOTS_1,no significant pairs
1055.ID_206:binShort:3_left_left__REDUCED__29724-29820___29812-29863__DOTS_1,no significant pairs
1056.ID_388:binShort:1_left_left__REDUCED__963-1041___1033-1064__DOTS_1,no significant pairs
1057.ID_811:binShort:2_left_left__REDUCED__10746-10785___10777-10835__DOTS_1,no significant pairs
1058.ID_472:binShort:4_left_left__REDUCED__13609-13671___13663-13744__DOTS_1,no significant pairs
1059.ID_355:binShort:3_left_left__REDUCED__28631-28680___28672-28726__DOTS_1,no significant pairs
106.ID_175:binShort:3_left_left__REDUCED__11783-11851___11810-11886__DOTS_1,no significant pairs
1060.ID_74:binShort:3_left_left__REDUCED__28859-28926___28918-28961__DOTS_1,no significant pairs
1061.ID_556:binShort:1_left_left__REDUCED__1501-1553___1545-1597__DOTS_1,no significant pairs
1062.ID_180:binShort:4_left_left__REDUCED__1749-1799___1791-1873__DOTS_1,no significant pairs
1063.ID_530:binShort:2_left_left__REDUCED__8397-8451___8443-8505__DOTS_1,no significant pairs
1064.ID_325:binShort:1_left_left__REDUCED__10187-10256___10248-10286__DOTS_1,no significant pairs
1065.ID_203:binShort:2_left_left__REDUCED__16803-16854___16846-16880__DOTS_1,------------BASE-PAIRS IDENTIFIED - SEE TABLE OF SUGGESTED CO-VARYING POSITIONS------------
1066.ID_340:binShort:3_left_left__REDUCED__22112-22162___22154-22214__DOTS_1,------------BASE-PAIRS IDENTIFIED - SEE TABLE OF SUGGESTED CO-VARYING POSITIONS------------
1067.ID_369:binShort:1_left_left__REDUCED__22435-22485___22477-22511__DOTS_1,no significant pairs
1068.ID_426:binShort:3_left_left__REDUCED__29173-29224___29216-29263__DOTS_1,no significant pairs
1069.ID_214_left__REDUCED__2908-2975___2968-3025__DOTS_1,no significant pairs
107.ID_259:binShort:2_left_left__REDUCED__10555-10615___10574-10663__DOTS_1,no significant pairs
1070.ID_472_left__REDUCED__26199-26250___26243-26322__DOTS_1,no significant pairs
1071.ID_525_left__REDUCED__22461-22512___22505-22566__DOTS_1,no significant pairs
1072.ID_219:binLong:26_left_left__REDUCED__10325-10386___10379-10439__DOTS_1,no significant pairs
1073.ID_559_left__REDUCED__17452-17504___17497-17570__DOTS_1,no significant pairs
1074.ID_762_left__REDUCED__5860-5908___5901-5960__DOTS_1,no significant pairs
1075.ID_512_left__REDUCED__6853-6914___6907-6948__DOTS_1,no significant pairs
1076.ID_756_left__REDUCED__28588-28655___28648-28701__DOTS_1,no significant pairs
1077.ID_811_left__REDUCED__27006-27059___27052-27103__DOTS_1,no significant pairs
1078.ID_730_left__REDUCED__28297-28351___28344-28413__DOTS_1,------------BASE-PAIRS IDENTIFIED - SEE TABLE OF SUGGESTED CO-VARYING POSITIONS------------
1079.ID_327:binShort:4_left_left__REDUCED__19820-19883___19876-19925__DOTS_1,------------BASE-PAIRS IDENTIFIED - SEE TABLE OF SUGGESTED CO-VARYING POSITIONS------------
108.ID_148:binShort:1_left_left__REDUCED__15675-15741___15700-15775__DOTS_1,no significant pairs
1080.ID_699_left__REDUCED__23789-23850___23843-23880__DOTS_1,no significant pairs
1081.ID_502:binShort:4_left_left__REDUCED__3492-3557___3550-3606__DOTS_1,no significant pairs
1082.ID_619:binShort:3_left_left__REDUCED__18213-18294___18287-18347__DOTS_1,no significant pairs
1083.ID_842:binShort:3_left_left__REDUCED__15667-15738___15731-15772__DOTS_1,no significant pairs
1084.ID_658:binShort:1_left_left__REDUCED__19818-19880___19873-19927__DOTS_1,no significant pairs
1085.ID_464:binShort:4_left_left__REDUCED__2444-2511___2504-2545__DOTS_1,no significant pairs
1086.ID_874:binShort:3_left_left__REDUCED__17985-18036___18029-18088__DOTS_1,no significant pairs
1087.ID_247:binShort:4_left_left__REDUCED__27554-27610___27603-27646__DOTS_1,no significant pairs
1088.ID_92:binShort:4_left_left__REDUCED__25121-25181___25174-25213__DOTS_1,no significant pairs
1089.ID_691:binShort:1_left_left__REDUCED__4268-4317___4310-4352__DOTS_1,no significant pairs
109.ID_69:binShort:2_left_left__REDUCED__8124-8182___8142-8237__DOTS_1,no significant pairs
1090.ID_591:binShort:3_left_left__REDUCED__4989-5059___5052-5108__DOTS_1,no significant pairs
1091.ID_657:binShort:1_left_left__REDUCED__5129-5188___5181-5227__DOTS_1,no significant pairs
1092.ID_541:binShort:3_left_left__REDUCED__10760-10802___10795-10843__DOTS_1,no significant pairs
1093.ID_644:binShort:3_left_left__REDUCED__11666-11708___11701-11766__DOTS_1,no significant pairs
1094.ID_634:binShort:3_left_left__REDUCED__28054-28130___28123-28159__DOTS_1,no significant pairs
1095.ID_312:binShort:3_left_left__REDUCED__1081-1129___1122-1190__DOTS_1,no significant pairs
1096.ID_465:binShort:4_left_left__REDUCED__1137-1197___1190-1221__DOTS_1,no significant pairs
1097.ID_659:binShort:3_left_left__REDUCED__12052-12109___12102-12145__DOTS_1,no significant pairs
1098.ID_645:binLong:49_left_left__REDUCED__16412-16486___16479-16568__DOTS_1,no significant pairs
1099.ID_442:binShort:2_left_left__REDUCED__18814-18874___18867-18921__DOTS_1,no significant pairs
11.ID_7:binShort:2_left_left__REDUCED__1396-1486___1404-1510__DOTS_1,no significant pairs
110.ID_289:binShort:3_left_left__REDUCED__29476-29548___29508-29565__DOTS_1,no significant pairs
