MSA name,Output
1.ID_1_left__REDUCED__5883-5946___7416-7474__DOTS_1,no significant pairs
10.ID_1004_left__REDUCED__5450-5500___5464-5547__DOTS_1,no significant pairs
100.ID_1053_left__REDUCED__16045-16108___16076-16128__DOTS_1,no significant pairs
1000.ID_1546_left__REDUCED__21040-21097___21105-21137__DOTS_1,no significant pairs
1001.ID_1547_left__REDUCED__5919-5972___7346-7377__DOTS_1,no significant pairs
1002.ID_1548_left__REDUCED__17576-17649___18128-18216__DOTS_1,no significant pairs
1003.ID_1549_left__REDUCED__21050-21090___21097-21130__DOTS_1,no significant pairs
1004.ID_154:binLong:16_left_left__REDUCED__2106-2164___2685-2749__DOTS_1,no significant pairs
1005.ID_154:binLong:17_left_left__REDUCED__9439-9606___9888-9947__DOTS_1,no significant pairs
1006.ID_154:binLong:18_left_left__REDUCED__16449-16474___16480-16558__DOTS_1,------------BASE-PAIRS IDENTIFIED - SEE TABLE OF SUGGESTED CO-VARYING POSITIONS------------
1007.ID_154:binLong:23_left_left__REDUCED__5686-5752___8634-8740__DOTS_1,no significant pairs
1008.ID_155_left__REDUCED__16961-17035___17322-17436__DOTS_1,no significant pairs
1009.ID_1550_left__REDUCED__8134-8185___8226-8265__DOTS_1,no significant pairs
101.ID_1054_left__REDUCED__13906-13960___13923-13998__DOTS_1,no significant pairs
1010.ID_1551_left__REDUCED__29665-29707___29803-29852__DOTS_1,no significant pairs
1011.ID_1552_left__REDUCED__6856-6921___7166-7228__DOTS_1,no significant pairs
1012.ID_1553_left__REDUCED__10084-10181___10771-10829__DOTS_1,no significant pairs
1013.ID_1554_left__REDUCED__13534-13597___14533-14624__DOTS_1,no significant pairs
1014.ID_1555_left__REDUCED__28338-28371___28980-29056__DOTS_1,no significant pairs
1015.ID_1556_left__REDUCED__11851-11889___11903-11968__DOTS_1,no significant pairs
1016.ID_1557_left__REDUCED__9969-10024___10074-10138__DOTS_1,------------BASE-PAIRS IDENTIFIED - SEE TABLE OF SUGGESTED CO-VARYING POSITIONS------------
1017.ID_1558_left__REDUCED__15050-15108___15723-15775__DOTS_1,no significant pairs
1018.ID_1559_left__REDUCED__16408-16481___16544-16599__DOTS_1,no significant pairs
